N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
128,롯데케미칼,"63,400","63,400","상승1,600",+2.59%,"5,000","27,120","42,775",20.50,"51,557",-1.59,-11.44
129,F&F,"69,300","69,300",상승900,+1.32%,100,"26,547","38,307",11.46,"10,849",7.37,25.27
130,동서,"26,000","26,000",하락200,-0.76%,500,"25,922","99,700",4.35,"23,409",16.49,9.52
131,KODEX 레버리지,"16,042","16,042",상승242,+1.53%,0,"25,611","159,650",0.47,"8,312,878",N/A,N/A
132,이마트,"92,700","92,700",하락800,-0.86%,"5,000","25,581","27,596",20.02,"113,114",-4.38,-5.40
133,서울보증보험,"36,350","36,350",상승600,+1.68%,"2,500","25,380","69,822",0.72,"56,325",11.91,4.12
134,롯데지주,"24,150","24,150",상승800,+3.43%,200,"25,336","104,909",7.40,"150,663",-2.51,-15.56
135,한화엔진,"30,050","30,050","하락1,300",-4.15%,"1,000","25,076","83,447",11.83,"1,109,511",30.98,25.64
136,농심,"412,000","412,000","하락12,000",-2.83%,"5,000","25,060","6,083",18.19,"14,785",15.93,6.17
137,에스원,"64,600","64,600",상승600,+0.94%,500,"24,547","37,999",56.09,"13,184",13.89,10.85
138,KODEX 미국나스닥100,"19,122","19,122",상승332,+1.77%,0,"24,381","127,500",0.06,"543,894",N/A,N/A
139,TIGER 200,"34,490","34,490",상승280,+0.82%,0,"23,953","69,450",9.35,"822,352",N/A,N/A
140,한전기술,"61,600","61,600",상승300,+0.49%,200,"23,544","38,220",9.65,"128,895",40.24,10.40
141,KCC,"263,500","263,500","상승1,500",+0.57%,"5,000","23,416","8,886",10.25,"7,022",7.54,6.08
142,엘앤에프,"64,400","64,400","상승2,600",+4.21%,500,"23,388","36,316",16.10,"104,863",-6.18,-41.74
143,TIGER 미국필라델피아반도체나스닥,"16,920","16,920",상승510,+3.11%,0,"23,163","136,900",0.28,"933,798",N/A,N/A
144,한화생명,"2,665","2,665",상승20,+0.76%,"5,000","23,146","868,530",10.05,"379,471",3.14,6.98
145,한온시스템,"3,390","3,390",상승55,+1.65%,100,"23,010","678,763",5.29,"410,768",-5.01,-13.90
146,KODEX 200TR,"12,295","12,295",상승80,+0.65%,0,"22,998","187,050",0.00,"141,455",N/A,N/A
147,미스토홀딩스,"37,725","37,725",상승275,+0.73%,"1,000","22,671","60,096",41.01,"45,961",26.98,4.30
